,_id,单价_2018_07_01,周边价格,地理位置,楼盘名称,网址
939,5b38d725c3666eb3a334282c,6100,无,[ 城南 - 南二环 ] 西影路与公园南路交汇处西北角,金业缇香山,https://xa.fang.anjuke.com/loupan/248812.html
940,5b38d725c3666eb3a8342824,待定,11886,"[ 浐灞 - 浐河 ] 浐河东路,近御城路",御锦城,https://xa.fang.anjuke.com/loupan/242830.html
941,5b38d726c3666eb3a2342810,商住10000元/㎡,无,[ 曲江区 - 曲江新区 ] 曲江雁南一路与翠华南路十字西北角,长庆坊·玺岸,https://xa.fang.anjuke.com/loupan/272922.html
942,5b38d726c3666eb3a7342820,待定,7000,[ 泾渭 - 泾渭工业园 ] 长庆东路与泾渭七路十字东北角,当代惠尔满堂悦MOMΛ,https://xa.fang.anjuke.com/loupan/436016.html
943,5b38d727c3666eb3a434280c,待定,15595,[ 城南 - 电视塔 ] 长安南路华东服饰广场南侧（陕师大西门对面）,天坛佳苑,https://xa.fang.anjuke.com/loupan/297388.html
944,5b38d728c3666eb3a5342814,住宅5300元/㎡,无,[ 泾渭 - 泾渭工业园 ] 泾渭南路,雍河院岸恋,https://xa.fang.anjuke.com/loupan/242737.html
945,5b38d728c3666eb3a7342824,7000,无,[ 西咸新区 - 沣西新城 ] 世纪大道清华科技产业园东（世纪大道以南）,金泰丝路花城,https://xa.fang.anjuke.com/loupan/242754.html
946,5b38d728c3666eb3a634281c,6673,无,[ 经济开发区 - 行政中心 ] 经开未央大道与凤城七路十字向东700米（张家堡广场东100米）,荣华北经城,https://xa.fang.anjuke.com/loupan/242619.html
947,5b38d728c3666eb3a8342828,9000,无,[ 西咸新区 - 泾河新城 ] 沣泾大道东段1号,乐华城翠缇学府,https://xa.fang.anjuke.com/loupan/436559.html
948,5b38d729c3666eb3a2342814,待定,14075,"[ 浐灞 - 世园会 ] 浐河东路,近金桥六路",自然界,https://xa.fang.anjuke.com/loupan/242911.html
